"rank","top","campaign_last_touch","icp_score","qt_leads"
1,Top 5 Campaign in Leads,b0ddd03bba9cffaa95a409e11d17d942,D,573
2,Top 5 Campaign in Leads,"458fbc9116e688f3ef72b6da40aeeb6e",D,458
3,Top 5 Campaign in Leads,"51f99c710d4486963dad6ef7411884a6",D,339
4,Top 5 Campaign in Leads,"9dff8a71ab996d392fbae33f741b5b48",D,319
5,Top 5 Campaign in Leads,"1255699fdffb782c66fef3d0a440a404",D,276
1,Top 5 Campaign in MQL,db3da4d0a80808f70c1f03be287c5558,B,47
2,Top 5 Campaign in MQL,"51f99c710d4486963dad6ef7411884a6",B,44
3,Top 5 Campaign in MQL,db3da4d0a80808f70c1f03be287c5558,C,35
4,Top 5 Campaign in MQL,d793bc18bef3b84461479825c61254fa,B,35
5,Top 5 Campaign in MQL,"10cef1ba3d9769f81ecc37b0d4ac3bf9",A,34
1,Top 5 Campaign in SAL,db3da4d0a80808f70c1f03be287c5558,B,19
2,Top 5 Campaign in SAL,db3da4d0a80808f70c1f03be287c5558,C,19
3,Top 5 Campaign in SAL,d793bc18bef3b84461479825c61254fa,B,15
4,Top 5 Campaign in SAL,"458fbc9116e688f3ef72b6da40aeeb6e",B,12
5,Top 5 Campaign in SAL,d793bc18bef3b84461479825c61254fa,A,10
